ESTRUCTURA BDD MEDIOS/PROGRAMAS																	
Datos generales del medio											Datos genericos de contacto1						
NOMBRE	WEB	TIPO DE MEDIO	PERIODICIDAD	ÁMBITO	SECTOR1	SECTOR2	SECTOR3	SECTOR4	SECTOR5	EMPRESA	DESCRIPCIÓN	DIRECCIÓN	CP	PROVINCIA	CIUDAD	TEL. FIJO	TELF. MOBIL
LOVE COCINA		Suplementos			Director/a					Editorial Grupo V		 Valportillo Primera, nº 11	28108	Madrid	Alcobendas		
Luhho.com		Internet medio digital															
LUNA Y SOL		Revista			Director/a												
M!CE AND BUSINESS TRAVEL		Revista profesional			Redacción					M!CE & Events Travel		Stationsplein 3	1211 EX	Holanda	Hilversum		003135 672 88 48
Madre no hay más que 1 (ABC)		Blog			Blogger					DIARIO ABC, S.L.							
MADRID DELUXE		Revista			Director/a					Grup Le City Deluxe							
MADRID EN LA ONDA (ONDA CERO)		Radio	Local		Subdirector /a					Onda Cero, S.A.U.		C/Fuerteventura, 12. SS de los Reyes	28703	Madrid	Madrid		914 366 764
MADRIZ		Revista	Local		Editor/a adjunto/a					Revistas Exclusivas S.L.				Madrid	Madrid		91 436 20 95
MAGAZINE (EL MUNDO)		Suplementos			Freelance					Unidad Editorial Revistas SLU				Madrid	Madrid		91 750 65 68
MAGAZINE (LA VANGUARDIA)		Suplementos			Redactor/a					LV Magazine SA		Diagonal 477, 9ª Planta	8036	Barcelona	Barcelona		93 481 20 12
MAGNA SELECTIO		Revista			Director /a												
MAJADAHONDA AL DÍA		Revista	Local		Director /a							Tva/ Ramón y Cajal · nº3	28220	Madrid	Majadahonda		
mamassaludables.com		Blog			Blogger												
MANAGING SPORT		Revista			Redactor/a									Madrid	Madrid		91 825 77 75
MANDALA MAGAZINE		Revista			Redactor/a					MANDALA MAGAZINE				Singapur			
MAQUINAS DEL TIEMPO		Revista			Director de comunicación					EDICIÓN DE MEDIOS Y REVISTAS, S.L.		 Diputación, 286 Principal 1ª	8009	Barcelona	Barcelona		93 343 56 34
MAR ABIERTO		Revista			Director /a									Barcelona	Barcelona		
MARCA		Prensa diaria			Coordinador/a					Unidad Editorial Información Deportiva S.L.U.				Barcelona	Barcelona		934962498
MARICEL TELEVISIÓ		TV			Redactor/a					Xarxa Audiovisual Local (XAL)				Barcelona	Barcelona		93 811 18 44
MARIE CLAIRE		Revista			Director /a					GyJ Revistas y Comunicaciones, S.L. Sociedad Unipersonal,		 Albasanz, 15 Edif. A. 	28037	Madrid	Madrid		91 4369800
MARIECLAIRE.ES		Internet medio digital			CM					GyJ Revistas y Comunicaciones, S.L. Sociedad Unipersonal,		 Albasanz, 15 Edif. A. 	28037	Madrid	Madrid		
MARINALIVE!		Revista			Redactor/a									Mallorca	Palma de Mallorca		971675216
MarioDeLaRenta		Blog															
MC - MEETINGS AND CONVENTIONS		Revista profesional			Editor/a					Northstar Travel Media LLC.				Reino Unido	London		0044 20 1902 1966
MEETING E CONGRESSI		Revista profesional			Redactor/a jefe/a					Ediman srl 		Via Ripamonti, 89	20141	Italia	Milano		0039 02 57311511
MEETING GUIDE		Revista profesional			Editor/a					Berlin Tourismus & Kongress GmbH				Alemania			0039 30 - 26 39 183
MEETING MAGAZINE NL		Revista profesional			Redactor/a jefe/a					Meeting Magazine		Kerkenbos 12-26c	6546 BE	Holanda	Nijmegen		003124 6450215 
MEETING PLANNER'S NEWS		Revista profesional			Delegado/a de public./editorial					Chevalier Event Consulting 		Ziegbachweg 4	D-79664	Alemania	Wehr/Kreis Waldshut		+49 700 0702 0702
MEETINGS INTERNATIONAL		Revista profesional			Delegado/a de public./editorial					Meetings International Publishing AB		Box 224	271 25	Suecia	Ystad		+46 86 124 296
MEN`S HEALTH		Revista			Coordinador/a					Motorpress Ibérica (MPIB)		Rambla Catalunya 91-93	8008	Barcelona	Barcelona		934670024
MEP - MARKETING EVENT PRAXIS		Revista profesional			Redactor/a					Verlagshaus Gruber GmbH 2013		Max-Planck-Str. 2	D-64859	Alemania	Eppertshausen		49 (0) 6071 3941 - 0
MESSE EVENT		Revista profesional			Redactor/a					schau media Wien Ges.m.b.H.		Leberstraße 122	1110	Austria	Wien		43/1/740 32 - 0
MI BEBÉ Y YO		Revista			Editor/a					Sfera Editores España, S.L.U.		Pol. Mas Blau – Edif. Muntadas – Solsonés, 2-B	8820	Barcelona	El Prat de Llobregat		93 370 85 85
MI CASA		Revista			Redactor/a					Hearst Magazines S.L.		Avda. Cardenal Herrera Oria,3.	28034	Madrid	Madrid		91 728 70 00
MI FARMACÉUTICO		Revista profesional			Redactor/a							Avenida de San Luis, 47	28033	Madrid	Madrid		91 766 99 34
MI PEDIATRA		Revista profesional			Redactor/a jefe/a							Avenida de San Luis, 47	28033	Madrid	Madrid		91 766 99 34
MÍA		Revista			Delegado/a de public./editorial					GyJ España Ediciones, S.L.,S. en C.,		Rambla Catalunya 91-93, 4º	8008	Barcelona	Barcelona		93 240 10 00
MIBEBÉYYO.COM		Internet portal temático			Redactor/a Web					Sfera Editores España, S.L.U.		Pol. Mas Blau – Edif. Muntadas – Solsonés, 2-B	8820	Barcelona	El Prat de Llobregat		93 370 85 85
MIC - MEETING INDUSTRY MAGAZINE		Revista profesional			Redacción					Primus Verlag AG		Hammerstrasse 81, Postfach 1331	CH-8032	Suiza	Zürich		004144 387 57 57
MICE CENTRAL & EASTERN EUROPE		Revista profesional			Director/a					MICE Central & Eastern Europe		Široká 10	110 00	República Checa	Praga 1		+420 222 313 689
MICENET 		Internet portal temático			Editor/a					Business and Tourism Publishing PTY LTD		Suite 3, 189 Kent St	NSW 2000	Australia	Sydney		+61 2 8264 4444
MIM MAGAZINE		Revista profesional			Consultas de negocios					Meeting Media Company		59, rue René Declercq	B-1150	Bélgica	Brussels		0032 2 761 70 50 
MIRADAS 2 (La 2)		TV			Director/a					TVE		Av. Mercè Vilaret s/n	8190	Barcelona	Sant Cugat		93 582 37 95
MIVINO.INFO		Internet portal temático			Redactor/a jefe/a												915120768
ModaBebe		Blog															
MODAES.ES		Internet portal temático			Director/a					RIPLEY GESTORA DE CONTENIDOS, SL		Pelayo, 12, 1º 1ª	8001	Barcelona	Barcelona		
Modapiel		Blog															
ModayLookMagazine		Blog															
MÓN EMPRESARIAL		Revista			Redactor/a jefe/a					Medigrup Digital S.A.		Galileu 303-305, 4ª Planta	8028	Barcelona	Barcelona		93 280 00 08
MÓN SOSTENIBLE		Internet portal temático			Director/a					Món Sostenible							
MONTAGUD & APICIUS		Internet portal temático			Redactor/a					Montagud & Apicius		Ausiàs March, 25. 1ª planta	8010	Barcelona	Barcelona		933 182 082.
MOTOR16		Revista			Redactor/a										Madrid		916 857 990
MOTORGOLF		Internet portal temático			Productor/a												690 157 881
MUJER HOY		Revista			Jefe/a de sección					TALLER DE EDITORES, S.A.		Juan Ignacio Luca de Tena 7, planta 1	28027	Madrid	Madrid		91 342 14 00
MUJERHOY.COM		Internet medio digital			Director/a					PORTALES VERTICALES, S.A.		Juan Ignacio Luca de Tena 7, planta 1	28027	Madrid	Madrid		91 342 14 00
MUNDO DIGITAL		Internet portal temático			Director/a												675377412
MUNDO ELECTRÓNICO		Revista			Director /a									Barcelona	Barcelona		93 243 10 40
MUNDOBELLEZA.COM		Internet portal temático			Redactor/a												
MUNTANYA		Revista			Redacción									Barcelona	Barcelona		933 152 311
MUY INTERESANTE		Revista			Jefe/a de sección					GyJ España Ediciones, S.L.,S. en C.,		Albasanz, 15. Edificio A.	28037	Madrid	Madrid		914369800
MY VENUES		Revista profesional			Contribuyente					myvenues.co.uk		Airport Business Centre, 10 Thornbury Road, Estover 	PL6 7PP	Reino Unido	Plymouth		0044 84 5270 3951
MYGOLFWAY.COM		Internet medio digital															
MYGOLFWAY.COM		Internet portal temático			Director /a												
NAIF MAGAZINE		Revista			Publicidad							C/Vilamarí, 33, 2º 4ª	8015	Barcelona	Barcelona		
NAUTA 360					Publicidad									Barcelona	Barcelona		93 496 24 22 
NAUTIC PRESS		Revista			Redacción									Barcelona	Barcelona		933172050
NÁUTICA		Revista			Freelance												
NAUTICA Y YATES		Revista			Director Editorial					Nautica y Yates		Sant Gervasi de Cassoles, 79	8022	Barcelona	Barcelona		932111146
NAVEGANDO POR LAS ISLAS		Revista			Redactor/a jefe/a												928246412
NEGOCIOS (EL PAÍS)		Suplementos			Redacción					EDICIONES EL PAÍS, S.L.		Miguel Yuste,42	28037	Madrid	Madrid		91 337 82 00
NEO 2		Revista			Director /a					NEO 2		San Bernardo, 63 - 3º A	28015	Madrid	Madrid		91 522 90 96
NORAH MAGAZINE		Revista			Editor/a							 Juan Bravo, 3. Portal A	28006	Madrid	Madrid		
NORDIS MAGAZINE		Revista			Redacción					Nordis Verlag GmbH				Escandinavia			004789-32 13 30
NOSOTRAS.COM		Internet medio digital															
NOSOTRAS.COM		Internet portal temático			Redactor/a jefe/a							Avenida Gran Vía, 16 - 20 2ª Planta	8902	Barcelona	Hospitalet de Llobregat		902 999 343
NOTICIAS.COM		Internet portal temático			Redactor/a jefe/a					INTERCOM FACTORY, S.L.							93 504 56 00
NOTICIASMEDICAS.ES		Internet portal temático								PortalesMedicos, SL							
NOTODOHOTELES.COM		Internet portal temático			Director /a					La Fábrica Gestión Más Cultura				Madrid	Madrid	914 132 245	914 133 099
NOX		Revista			Delegado/a de public./editorial					MC Ediciones, S.A.		Orense, 11	28020	Madrid	Madrid		91 597 30 90
NUEVA EMPRESA		Internet portal temático			Director/a					Nuevaempresa.com		C/Acacias, 54	28140	Madrid	Fuente el Saz		91 620 05 35
NUEVA ESTETICA		Revista profesional			Redactor/a jefe/a									Barcelona	Barcelona		93 209 79 33
OBSERVATORIO DE RECURSOS HUMANOS Y RELACIONES LABORALES		Revista profesional			Director/a					ORH		 Hierro 6-B, 3º E	28045	Madrid	Madrid		91 758 64 82
OEHV		Revista profesional			Redactor/a					ÖHV – Österreichische Hoteliervereinigung		Hofburg, Gottfried-von-Einem-Stiege	A-1010	Austria	Wien		43(1) 533 09 52-0
ORBITA		Revista			Director /a												629 300 581
ORIZON		Revista			Delegado/a de public./editorial					SPAIN MEDIA MAGAZINES		 Doctor Fourquet 3	28012	Madrid	Madrid		91 206 10 40
OSACA		Revista			Coordinador /a							Avda. Castilla y León, 62-64	9006	Burgos	Burgos		947 252 253
OUTDOOR		Revista			Redactor/a jefe/a									Madrid	Madrid		91 360 22 71
OUTDOOR ACTUAL		Internet portal temático			Redactor/a												
OXIGENO		Revista			Subdirector /a					Motorpress Ibérica (MPIB)				Madrid	Madrid		91 347 01 00
PANORAMA NAUTICO		Internet portal temático			Director /a												
Pecas y Pecados		Blog															
Pecas y Pecados		Blog			Blogger												
PERIODISTADIGITAL.COM		Internet portal temático			Redactor/a									Madrid	Madrid		91 732 19 05
PERROS DE CAZA		Revista			Director Comercial					Editorial Grupo V		Moià, 1, 2a Planta	8006	Barcelona	Barcelona		932414251
PESCA A BORDO		Revista			Director /a							Consell de Cent, 398, bajos	8009	Barcelona	Barcelona		933180101
PESCA Y BARCOS		Revista			Redacción					Editorial Grupo V		Moià, 1, 2a Planta	8006	Barcelona	Barcelona		
PESO PERFECTO		Revista			Redactor/a					Ediciones Primera Plana S.A.		 Consell de Cent, 425. 5ª planta	8009	Barcelona	Barcelona		93 227 94 16
PETIT STYLE		Revista			Director /a							 Riu Ter, 5, 2º 1ª	8850	Barcelona	Gavà		
PLÁCET		Revista			Redactor/a jefe/a									Madrid	Madrid		91 721 60 40
PLANETA MTB		Internet portal temático			Redacción												
PORTALMUNDOS.COM		Internet portal temático															
PR NOTICIAS		Agencia de noticias			Redactor/a					PR NOTICIAS		Marqués de Monteagudo18, 2º Planta,	28028	Madrid	Madrid		91 713 11 72
PRENSAPIEL		Revista profesional			Redactor/a					EDICIONS SIBIL.LA		Rosselló, 372 5º 1ª	8025	Barcelona	Barcelona		932265151
PRESÈNCIA		Suplementos			Redactor/a					HERMES COMUNICACIONS S.A		Tàpies, 2	8001	Barcelona	Barcelona		972 18 64 00
PREVENIR		Revista			Redactor/a jefe/a							 Príncipe de Vergara Nº109.	28002	Madrid	Madrid		914471202
PRIMER TOC (RAC1)		Radio			Redacción					Radiocat XXI, SL		Diagonal 477, 15ª Planta	8036	Barcelona	Barcelona		93 270 44 00
PRONTO		Revista			Redactor/a					HERES PUBLICACIONES		Gran Via Carles III, 124, 5º	8034	Barcelona	Barcelona		93 206 15 40
PROTIENDAS		Revista profesional			Redactor/a jefe/a							Avda. Juan Carlos I	28806	Madrid	Alcalá de Henares		91 8024120
PSYCHOLOGIES		Revista			Coordinador /a					PRISMA PUBLICACIONES		Av. Diagonal 662-664	8034	Barcelona	Barcelona		93 492 68 73
PUBLICACIONES AL DÍA		Revista			Redactor/a jefe/a												91 134 15 29
PUERICULTURA MARKET		Internet portal temático			Redactor/a jefe/a									Barcelona	Barcelona		93 325 32 87
PUNTEX MÉDICO		Revista profesional		8006	Sospir, 33					PUNTEX							
QM QUALITY IN MEETINGS		Revista profesional			Redacción					Het Portaal Uitgevers B.V.		Veerdijk 40-i	1531 MS	Holanda	Wormer		003175-6475747
QUADTREROS		Internet portal temático															
QUÉ ME DICES!		Revista			Coordinador /a					Hearst Magazines S.L.		Avda. Cardenal Herrera Oria,3	28034	Madrid	Madrid		917287000
QUE.ES		Internet medio digital								Factoría de Información, S.A							
QUE.ES		Internet medio digital			CM					Factoría de Información, S.A				Madrid	Madrid		91 572 62 00
QUÈFEM?		Suplementos								PRISMA PUBLICACIONES							
QUÈFEM?		Suplementos			Coordinador/a					PRISMA PUBLICACIONES		Diagonal, 662-664, 1ª Planta	8034	Barcelona	Barcelona		93 492 68 01 - 93 270 45 50
QUO MAGAZINE		Revista			DELEGADO					Hearst Magazines S.L.				Barcelona	Barcelona		934 301 004
RABAT MAGAZINE		Revista			Delegado/a de public./editorial							Passeig de Gràcia 99	8008	Barcelona	Barcelona		93 384 41 11
RAC 1		Radio								Radiocat XXI, SL							
RAC 1		Radio			Redactor/a jefe/a					Radiocat XXI, SL				Barcelona	Barcelona		93 270 44 00
RÀDIO CIUTAT BADALONA		Radio			Director/a					Xarxa Audiovisual Local (XAL)		Carrer Sant Agustí 11	8915	Barcelona	Badalona		93 497 40 00
RÀDIO CONTRABANDA		Radio			Redactor/a					Ràdio Contrabanda		Asociació Cultural Contrabanda, Apartado de correos 748	8080	Barcelona	Barcelona		93 317 73 66
RÀDIO GIRONA		Radio			Redacción					Grupo Prisa Radio		Plaça Josep Pla 2	17001	Girona	Girona		97 222 11 00
RADIO KANAL BARCELONA		Radio			Redactor/a							GRAN VIA DE LES CORTS CATALANES 645, 2º1ª	8009	Barcelona	Barcelona		
RADIO TELEVISIÓ 10		Radio			Redactor/a					Xarxa Audiovisual Local (XAL)		Carrer de les flors 2	8635	Barcelona	Sant Esteve Sesrovires		93 771 47 61
RCNB MAGAZINE		Revista			Redactor/a jefe/a									Barcelona	Barcelona		934879944
REFERENCIA RELOJERA		Revista			Redactor/a					Referenciarelojera					Madrid		Madrid
REGIÓ 7		Prensa diaria			Redactor/a					Grup Editorial Prensa Ibérica		Carrer de Sant Antoni Maria Claret 32	8243	Barcelona	Manresa		93 877 22 33
RELACIONES GASTRONÓMICAS		Revista			Redactor/a					Relaciones Gastronómicas							
RELOJES ESPECIALES		Revista			Editor/a web					Relojes Especiales							
RELOJES Y ESTILOGRÁFICAS		Revista			Editor/a					Relojes y Estilográficas							91 112 40 82
RELOJESDELUXE.COM		Internet portal temático			Redactor/a jefe/a												
RENDEVENEMENT		Revista profesional			Redactor/a					Professional Media Group		Torhoutsesteenweg 226 bus 7	8210	Bélgica	Zedelgem		00 32 50 24 04 45
RESFLEX		Revista profesional			Delegado/a de public./editorial					Resflex				Suecia			0046 86 780 515
REVISTA ARG EXPRESS		Revista			Director /a												
REVISTA EJECUTIVOS		Revista			Redactor/a jefe/a					Ejecutivos.es		Calle de Arturo Soria, 41	28027	Madrid	Madrid		91 185 45 60
REVISTA ÉPOCA		Revista			Freelance					Grupo Intereconomía							91 638 83 96 - 91 510 91 49
REVISTA IBÉRICA		Revista			Redactor/a												91 318  07 29
REVISTA LAND ESPAÑA		Revista			Redactor/a												
REVISTA RAMBLA		Revista			Redacción												932198725
REVISTAS DISNEY		Revista			Redactor/a									Madrid	Madrid		913849409
RFEG		Revista			Publicidad									Barcelona	Barcelona		934300323
RFEG		Revista			Redactor/a												
RNE		Radio			Redacción					RTVE		Gran Via Jaume I, 60	17002	Girona	Girona		97 241 60 60
ROBB REPORT		Revista			Delegado/a de public./editorial					SPAIN MEDIA MAGAZINES		Doctor Fourquet 3	28012	Madrid	Madrid		91 206 10 40
RocketMagazine		Revista			Editor/a												
ROLLING STONE		Revista			Director/a					Prisa Revistas				Madrid	Madrid		915386294
ROLLINGSTONE.ES		Internet medio digital			CM					Prisa Revistas				Madrid	Madrid		915 386 275
RONDA IBERIA		Revista			Freelance					Ediciones Primera Plana S.A.		 Orduña 3, 3ª Planta	28034	Madrid	Madrid		
RUNNER'S WORLD		Revista			Redactor/a jefe/a					Motorpress Ibérica (MPIB)					Madrid		913470594
RUTAS DEL MUNDO		Revista			Director /a									Barcelona	Barcelona		93 254 12 50
RUTASVIAJERAS.COM		Internet portal temático			Redacción									Barcelona	Barcelona		93 255 31 45
RuthMontes		Blog															
RuthMontes		Blog			Blogger												
SABER VIVIR / MUY SALUDABLE		Revista			Redactor/a							C/Pérez Galdós,  36 	8012	Barcelona	Barcelona		
SALUD Y VIDA (LA VANGUARDIA)		Suplementos								La Vanguardia Ediciones S.L.							
SALUD.COM		Internet portal temático			Coordinador /a												
SÁLVAME REVISTA		Revista			Coordinador/a							 Mártires de Alcalá, 4, 2ª	28015	Madrid	Madrid		91 282 28 90
SANTS AL DIA		Radio			Jefe/a de Informativos					Sants 3 Ràdio		Carrer Constitució 17	8014	Barcelona	Barcelona		93 298 19 19
SAP REVIEWS		Revista			Redactor/a jefe/a												644 185 444
SAPOS Y PRINCESAS		Revista			Publicidad							Dirección: Ángel Muñoz, 15	28043	Madrid	Madrid		
SCHWEIZER TOURISTIK / TTMedia		Revista profesional			Redactor/a jefe/a					tourism trend media GmbH		Forchstrasse 60	CH-8032 Z	Suiza	Postfach		0041 44-388 99 63
SECTOR EJECUTIVO		Revista			Director/a					Sector Ejecutivo		Pº Santa María de la Cabeza, 42. Oficina 8	28045	Madrid	Madrid		91 539 28 50
SEMANA		Revista			Jefe/a de sección					SEMANA, S.L.		C/Cuesta de San Vicente, 28	8008	Madrid	Madrid	915421104	91 547 23 00
SENDA SENIOR		Revista			Freelance							 Isla de Saipan, 47 	28035	Madrid	Madrid		915357273
SER PADRES HOY		Revista			Estilista					GyJ España Ediciones, S.L.,S. en C.,							
SERPADRES.ES		Productora			Coordinador /a					GyJ España Ediciones, S.L.,S. en C.,		 Albasanz, 15. Edificio A	28037	Madrid	Madrid		91 436 98 00 (ext. 2136)
SERVIMEDIA		Agencia de noticias			Director/a General					Servimedia S.A.		 Almansa, 66	28039	Madrid	Madrid		91 391 39 31
SHANGAY		Revista			Freelance					Editorial Imani S.L.				Madrid	Madrid		626 57 66 82
Siete Días Médicos		Revista profesional								Ediciones Mayo S.A.							
SIETE LEGUAS		Suplementos			Redactor/a jefe/a					Unidad Editorial Revistas SLU		Avda. San Luis,25	28033	Madrid	Madrid		91 443 50 00
SIN CONCESIONES		Radio			Redactor/a					Radio Kanal Barcelona		Gran Via de les Corts Catalanes 645, 2º 1ª	8009	Barcelona	Barcelona		93 468 55 55 - 93 342 72 20
SKIPPER		Revista			Publicidad					Curt Ediciones, SA		Consell de Cent, 398, bajos	8009	Barcelona	Barcelona		933180101
SMILE MAGAZINE		Revista			Director/a					Cebu Pacific Air		89 Neil Road 03-01	88849	Singapur			63-927-745-3547
SMODA		Suplementos								Ediciones Conelpa							
SMODA.ES		Internet medio digital								Ediciones Conelpa							
SOCIAL.CAT		Internet portal temático			Redactor/a									Barcelona	Barcelona		93 181 82 56
SOLIDARIDAD DIGITAL		Internet portal temático			Director /a									Madrid	Madrid		
SOLO BICI		Revista			Director /a									Barcelona	Barcelona		93 431 55 33
SOLO GOLF & VIAJES		Revista			Redactor/a jefe/a									Barcelona	Barcelona		9343155 33
SOLO HOSTELERIA		Revista			Redactor/a jefe/a									Alicante	Alicante		96 341 54 94
SOLO MODA (TVE)		TV			Jefe/a de sección					TVE		Alcalde Sáinz de Baranda, 92	28007	Madrid	Madrid		
SOLO PESCA ONLINE		Internet portal temático												Barcelona	Barcelona		93 254 12 50
SOLOMODA.COM		Internet medio digital			CM									Madrid	Madrid		91 414 91 51
SOLOMOTO OFFROAD		Revista			Publicidad									Barcelona	Barcelona		93.297.39.04
SOMMELIER		Revista			Director/a					Ediciones Sociales S.L. (EDISSA)		Roselló 186	8008	Barcelona	Barcelona		93 323 14 91
SORTIM		Suplementos			Redactor/a					HERMES COMUNICACIONS S.A							
SPAIN GOURMETOUR		Revista profesional			Redactor/a					ICEX							91 349 19 24
SPEND IN		Revista			Director/a					Global Luxury Communications		Pº de la Castellana, 123 Esc. Dcha 7ªB	28046	Madrid	Madrid		91 598 02 27
SPIRIT SOUTHWEST AIRLINES		Revista			Redactor/a					Spirit Magazine Editorial Office - Pace Communications, Inc.		Suite 360, 2811 McKinney Avenue	75204	USA	Dallas, Texas		(214) 580-8070
SPORT		Prensa diaria			Redactor/a					Ediciones Deportivas Catalanas, S.A.							
SPORT LIFE		Revista			Director /a					Motorpress Ibérica (MPIB)				Barcelona	Barcelona		93 342 70 40
SPORT TRAVEL		Revista			Redactor/a									Barcelona	Barcelona		93 496 95 52
SPOSABELLA		Revista								Ediciones Condé Nast, S.A							
STAFF EMPRESARIAL		Revista profesional			Coordinador/a					Staff Empresarial				Barcelona	Barcelona		93 419 51 52
STILO.ES		Internet portal temático			Coordinador /a									Madrid	Madrid		93.442.65.48
STREETDETAILS.ES		Internet medio digital															
STUFF		Revista			Redacción					MC Ediciones, S.A.		 Orense, 11	28020	Madrid	Madrid		91 597 30 90
STYLEDEVIVRE.COM		Internet medio digital															
StyleLovely.com		Internet portal temático			Director /a												
SÚPER POP		Revista			Jefe/a de sección					Publicaciones Mahe SLU		Gran Vía Carlos III 124 1º	8034	Barcelona	Barcelona		93 252 14 52
Súper Teens		Revista			Freelance												
SUPERTELE		Revista			Redactor/a jefe/a									Madrid	Madrid		917288926
SURF A VELA		Revista			Director /a					MEDIA PRO DYNAMIC S.L.				Barcelona	Barcelona		93 211 11 46
SWISS MAGAZINE		Revista			Redacción					Swiss International Airlines Ltd.			CH-4002	Suiza	Basel		
TÀPIAS VARIADAS (Catalunya Ràdio)		Radio			Freelance					Televisió de Catalunya, S.A. 		Carrer de Jacint Verdaguer 0	8970	Barcelona	Barcelona		93 499 93 33
TELEDEPORTE		TV			Redactor/a					RTVE				Barcelona	Barcelona		93 582 30 30
TELENOTÍCIES (TV3)		TV			Redactor/a jefe/a					Televisió de Catalunya, S.A. 		Carrer de Jacint Verdaguer 0	8970	Barcelona	Barcelona		93 473 22 96
TELEVISIÓ COSTA BRAVA		TV			Director/a					Global Media		Av.Platja D’Aro 228-248	17248	Girona	S'Agaró		97 282 08 09 ext 503
TELEVISIÓ DE CATALUNYA (Delegació Girona)		TV			Corresponsal					Televisió de Catalunya, S.A. 		Ronda Fort Roig, 20	17007	Girona	Girona		97 222 02 26
TELEVISIÓ DE GIRONA		TV			Jefe/a de Informativos					Xarxa Audiovisual Local (XAL)		Avinguda Sant Francesc 6	17001	Girona	Girona		97 222 11 11
TELVA		Revista			Estilista					Unidad Editorial Revistas SLU							91 443 63 33
TELVA.COM		Internet medio digital			Redactor/a jefe/a					Unidad Editorial Internet, S.L.		Avda. San Luis,25	28033	Madrid	Madrid		91 443 50 00
TENDENCIAS DE BODAS MAGAZINE		Revista			Redactor/a jefe/a												622 096 466
TenerClase		Blog															
TenerClase		Blog			Blogger												
TENMAG		Revista			CM					Publicaciones Áncora, S.L.		Plaza de Matute, 5. Local izq.	28012	Madrid	Madrid		91 3896719
TEXTIL EXPRES		Revista profesional			Redactor/a									Barcelona	Barcelona		93 453 79 38
TEXTIL Y MODA		Revista profesional			Director /a									Barcelona	Barcelona		93 226 51 51
THE BEST JOYAS		Revista			Redactor/a					Curt Ediciones, SA		Consell de Cent, 398	8009	Barcelona	Barcelona		93 318 01 01
THE BEST- SUPERYATES&MARINAS		Revista			Redactor/a jefe/a									Barcelona	Barcelona		93 318 01 01
The Best Zapatos y Bolsos		Revista			Redactor/a									Barcelona	Barcelona		933 180 101
THE MAIN EVENT MAGAZINE		Revista profesional			Redactor/a					Script Media Group Limited		47 Church Street	S70 2AS	Reino Unido	Barnsley		0044 12 2673 4463
THE MEETING PROFESSIONAL		Revista profesional			Redacción					Meeting Professionals International		3030 Lyndon B. Johnson Freeway, Suite 1700	75234-2759	USA	Dallas, Texas		+1 972-702-3025
The Showroom Mag		Revista profesional			Redactor/a												92 224 28 76
TheCityZoo		Blog															
TIEMPO		Revista			Redactor/a							 Orduña, 3	28034	Madrid	Madrid		915863345
TIEMPO DE LUJO		Revista			Director/a					Tiempodelujo							
TIEMPO DE RELOJES		Revista			Director /a					Ediciones Tourbillon				Madrid	Madrid		
TIME OUT BCN		Revista			Director/a					80 MES 4 PUBLICACIONS S.L.		Via Laietana, 20	8003	Barcelona	Barcelona		93 384 37 27
TODO BODA 		Revista			Redactor/a jefe/a									Madrid	Madrid		91 593 20 70
TODO FÁCIL		Revista			Director /a												914 471 202
TODO PAPÁS		Revista			Redactor/a							C/Doctor Cirajas, 10 Local 1	28017	Madrid	Madrid		91 183 80 26
TOP AUTO		Revista			Redactor/a									Madrid	Madrid		91 204 06 79
TOP STYLE KIDS		Revista			Redactor/a							 Caspe, nº 118 - 120, piso: 6º	8013	Barcelona	Barcelona		93 245 51 90
TOP VIAJES		Revista			Redactor/a												
TOPESTILO.COM		Internet portal temático			Freelance									Madrid	Madrid		
TOT ES POSSIBLE (Rac1)		Radio			Redactor/a					Radiocat XXI, SL		Diagonal 477, 15ª Planta	8036	Barcelona	Barcelona		93 270 44 00
TOTAL HOSPITALITY		Revista profesional			Redacción					Total Hospitality Ltd		Butlers Land Farm, Mortimer,	RG7 2AG	Reino Unido	Berkshire		0044 11 8933 3919
TOURISTIK AKTUELL		Revista			Redacción					Euro Business Communication Verlag GmbH		Geheimrat-Hummel-Platz 4	65239	Alemania	Hochheim		0 61 46 / 605 - 131
TOURMAG		Internet portal temático			Redactor/a					TourMaG.com		21 rue Marc Donadille, Les Baronnies, Bat. E, ZAC de Château Gombert	13013	Francia	Marseille		04.91.58.57.53
TOURPRESS HOLLAND		Revista profesional			Redactor/a					Tourpress Holland				Holanda			6 45544436
TRADE FAIRS INTERNATIONAL		Revista profesional			Redactor/a					TFI-Verlagsgesellschaft mbH		Oberfeld 32	D-82319	Alemania	Starnberg		49-8151-2779-07
TRADEBIKE		Revista			Director /a									Barcelona	Barcelona		932530311
TRADESPORT		Revista técnica										 Camp, 56 	8022	Barcelona	Barcelona		93 253 03 11
TRAIL		Revista															620682528
TRAVEL AND TOURISM NEWS		Internet portal temático			Redactor/a					Travel and Tourism News				Emiratos Árabes			011 97143371366
TRAVEL DAILY NEWS INTERNATIONAL		Internet portal temático			Redactor/a jefe/a					Travel Media Applications		50, Sfigos Street	GR-11745	Grecia	Atenas		0030 210 937 4050
TRAVEL PLUS MAGAZINE		Revista			Redacción					TravelPlus				Reino Unido	London		
TRAVEL QUOTIDIANO		Revista			Director/a					Travel Agent Book Srl				Italia			02. 76. 31. 68. 46
TRAVEL WEEKLY		Revista			Redactor/a jefe/a					Northstar Travel Media Llc		100 Lighting Way	NJ 07094	USA	Secaucus		(201) 902-2049
